Date,Lo20,Qnt2,Qnt3,Qnt4,Hi20,Lo10,Dec2,Dec3,Dec4,Dec5,Dec6,Dec7,Dec8,Dec9,Hi10,Spread
1963-07-01,0.0046,-0.0003,0.0012,-0.001,-0.0208,0.0037,0.0059,-0.0046,0.0012,-0.004,0.0055000000000000005,0.0084,-0.0175,-0.024900000000000002,-0.0179,-0.0216
1963-08-01,0.073,0.047400000000000005,0.048,0.0641,0.06309999999999999,0.0655,0.08380000000000001,0.0421,0.0493,0.0475,0.048499999999999995,0.0596,0.0723,0.0602,0.065,-0.0005000000000000004
1963-09-01,-0.0069,-0.0001,-0.023799999999999998,-0.020499999999999997,-0.0001,-0.0069,-0.0068000000000000005,-0.0014000000000000002,0.0004,-0.0182,-0.028399999999999998,-0.018000000000000002,-0.025099999999999997,-0.020499999999999997,0.0137,0.0206
1963-10-01,0.1042,0.0265,0.0262,0.0308,0.0060999999999999995,0.1411,0.0527,0.04,0.0216,0.0116,0.0383,0.0321,0.028300000000000002,0.0052,0.0068000000000000005,-0.1343
1963-11-01,-0.0403,0.013300000000000001,-0.009899999999999999,-0.0021,-0.006,-0.0596,-0.0111,-0.0018,0.019,-0.0194,-0.0022,-0.006,0.005,0.0027,-0.011699999999999999,0.0479
1963-12-01,0.0103,0.023700000000000002,0.042300000000000004,0.022400000000000003,-0.0052,-0.0023,0.0282,0.0378,0.018600000000000002,0.031,0.0513,0.0323,0.0046,-0.0146,0.001,0.0033
1964-01-01,0.013300000000000001,0.0387,0.0325,0.024,0.0076,0.0215,0.0021,0.043,0.0371,0.024300000000000002,0.038900000000000004,0.027999999999999997,0.0166,-0.0101,0.0192,-0.0023
1964-02-01,0.0195,0.0204,0.0104,0.024900000000000002,0.025699999999999997,0.0078000000000000005,0.0358,0.0415,0.0125,0.0196,0.0033,0.015600000000000001,0.0421,0.0394,0.017,0.0092
1964-03-01,0.0271,0.0176,0.025,0.0152,0.016399999999999998,0.0183,0.0391,0.0375,0.01,0.024,0.0258,0.0096,0.0254,0.0509,-0.0059,-0.0242
1964-04-01,0.0158,0.003,0.0109,-0.016,0.0002,0.0291,-0.0021,-0.009899999999999999,0.008100000000000001,0.022099999999999998,0.0022,-0.0044,-0.0368,-0.0106,0.0076,-0.021500000000000002
1964-05-01,0.0297,0.0167,0.009000000000000001,0.0069,0.0208,0.0254,0.035699999999999996,0.034,0.009899999999999999,0.008100000000000001,0.0096,0.0089,0.0032,-0.0060999999999999995,0.038900000000000004,0.013500000000000005
1964-06-01,0.017,0.0181,0.009899999999999999,0.0167,0.0239,0.0174,0.0165,-0.0002,0.0255,0.0273,-0.0037,0.0143,0.0213,0.0252,0.023,0.005600000000000001
1964-07-01,0.0274,0.0039000000000000003,0.0083,0.045599999999999995,0.0123,0.0304,0.0252,-0.008,0.024700000000000003,0.0197,-0.0084,0.051500000000000004,0.0268,0.0179,0.0051,-0.0253
1964-08-01,0.0,-0.0129,-0.025099999999999997,0.0002,-0.0079,0.0177,-0.013000000000000001,-0.015700000000000002,-0.008199999999999999,-0.020499999999999997,-0.0321,0.0034000000000000002,-0.0103,-0.0152,0.0017000000000000001,-0.016
1964-09-01,0.041299999999999996,0.021099999999999997,0.026600000000000002,0.0361,0.046900000000000004,0.042800000000000005,0.04019999999999999,0.0131,0.0345,0.030899999999999997,0.0199,0.0362,0.0358,0.0553,0.0358,-0.007000000000000006
1964-10-01,0.009399999999999999,0.0006,0.0191,0.0091,0.0048,0.0032,0.0141,0.0029,-0.0033,0.039,-0.0118,0.0146,-0.0091,0.0018,0.0089,0.0057
1964-11-01,0.0079,0.0028000000000000004,0.0083,-0.0109,0.0106,0.0192,-0.0007000000000000001,-0.014199999999999999,0.030699999999999998,0.0149,-0.0025,-0.0168,0.009000000000000001,0.0075,0.0147,-0.004499999999999999
1964-12-01,-0.0049,0.0040999999999999995,-0.0007000000000000001,0.0141,0.0184,0.0023,-0.0105,0.013600000000000001,-0.010700000000000001,0.0011,-0.0038,0.0161,0.0076,0.018799999999999997,0.0178,0.0155
1965-01-01,0.0395,0.0331,0.022799999999999997,0.0487,0.052000000000000005,0.0277,0.0489,0.0226,0.0501,-0.0002,0.061,0.0483,0.050199999999999995,0.0677,0.031400000000000004,0.0037000000000000054
1965-02-01,0.0304,0.0098,-0.006999999999999999,0.0029,0.0196,0.028300000000000002,0.0321,0.0077,0.0131,-0.0241,0.019799999999999998,-0.0013,0.017,0.0146,0.0263,-0.0020000000000000018
1965-03-01,-0.0088,-0.0159,-0.0177,0.0022,-0.0229,-0.011899999999999999,-0.0064,-0.0143,-0.018500000000000003,-0.023,-0.0098,0.0033,-0.0012,-0.0355,-0.0059,0.005999999999999999
1965-04-01,0.037599999999999995,0.0327,0.030299999999999997,0.0538,0.0572,0.053899999999999997,0.0253,0.0397,0.0217,0.0179,0.048600000000000004,0.0582,0.0397,0.0414,0.07780000000000001,0.02390000000000001
1965-05-01,-0.0014000000000000002,0.0116,-0.0089,-0.0227,0.013600000000000001,-0.011399999999999999,0.006500000000000001,0.015,0.0060999999999999995,-0.005600000000000001,-0.013500000000000002,-0.0281,-0.005,0.0242,0.0004,0.011799999999999998
1965-06-01,-0.066,-0.0444,-0.036000000000000004,-0.064,-0.0616,-0.067,-0.06509999999999999,-0.0354,-0.0588,-0.0245,-0.0525,-0.0642,-0.0634,-0.0605,-0.0629,0.004100000000000006
1965-07-01,0.0335,0.011899999999999999,0.0204,0.0192,0.006999999999999999,0.039,0.0297,0.0336,0.005600000000000001,0.0194,0.022099999999999998,0.0079,0.0252,0.0209,-0.0045000000000000005,-0.0435
1965-08-01,0.045,0.0316,0.020099999999999996,0.0365,0.0409,0.034300000000000004,0.052300000000000006,0.075,0.018500000000000003,0.0138,0.0311,0.034,0.0378,0.0553,0.0286,-0.005700000000000004
